Rank,Car,2019,2018,2017,2016,2015,2014
158,  Toyota Auris,57,78,66,54,35,
159,  Mercedes Benz GLE,55,77,66,51,34,
160,  Tesla Model S,54,76,65,47,31,
161,  Mitsubishi Spacestar,53,70,65,47,31,
162,  Lexus RX,52,69,64,43,30,
162,  Volvo V90,52,65,63,43,30,
164,  Mercedes Benz GLA,51,65,61,43,29,
165,  Opel Karl,50,63,58,42,27,
166,  Opel Adam,49,61,57,41,23,
167,  Lexus IS,47,61,56,37,18,
168,  Landrover Range Rover,46,60,52,36,17,
169,  Ford Grand C-Max,45,59,49,35,12,
170,  Audi e-tron,44,57,49,33,11,
171,  Kia Carens,41,57,44,31,10,
172,  BMW 8 Series,39,56,44,29,9,
172,  Jaguar I-Pace,39,50,40,28,9,
174,  Kia Stinger,36,49,38,27,5,
174,  Ssangyong Tivoli,36,48,38,26,4,
176,  Lexus CT,35,48,38,23,4,
177,  Jaguar XE,34,45,38,22,3,
177,  Mercedes Benz S Class,34,41,36,17,2,
179,  Jaguar XF,32,41,34,17,2,
179,  Peugeot 108,32,41,33,16,2,
181,  BMW X4,31,41,32,15,1,
182,  Tesla Model X,30,41,28,13,1,
183,  BMW 7 Series,29,41,27,13,,
184,  Fiat Panda,28,39,26,10,,
185,  Subaru XV,26,35,26,9,,
186,  Porsche Panamera,25,35,25,9,,
187,  Kia Venga,24,35,25,7,,
187,  Mazda MX-5,24,34,23,7,,
189,  Audi A8,23,33,21,5,,
190,  Porsche Macan,22,32,21,4,,
191,  Citroen DS3,21,30,21,4,,
192,  Subaru Forester,20,29,19,3,,
193,  Alfa Romeo Giulia,19,26,18,1,,
193,  BMW 6 Series,19,25,17,,,
193,  Citroen C4,19,24,13,,,
193,  Jeep Renegade,19,24,12,,,
193,  Subaru Impreza,19,22,11,,,
198,  Citroen C1,16,18,11,,,
198,  Ford Mustang,16,18,11,,,
200,  Lexus RC,15,17,10,,,
201,  Audi TT,12,17,8,,,
202,  Lexus LS,11,17,6,,,
203,  Porsche Cayenne,10,17,4,,,
204,  Porsche 911,9,16,3,,,
204,  Volkswagen Beetle,9,14,2,,,
206,  Alfa Romeo Giulietta,8,13,2,,,
206,  Alfa Romeo Stelvio,8,13,1,,,
206,  BMW M4,8,13,1,,,
209,  BMW M2,7,12,1,,,
209,  Mitsubishi Lancer,7,12,,,,
211,  BMW M5,5,12,,,,
211,  Fiat 500L,5,12,,,,
213,  Mercedes Benz EQC,4,12,,,,
214,  Opel Zafira,3,11,,,,
215,  Seat Toledo,2,10,,,,
215,  Toyota Avensis,2,10,,,,
217,  Ford Edge,1,3,,,,
217,  Nissan Note,1,1,,,,
217,  Volkswagen Jetta,1,1,,,,
